id_cliente,idade,tempo_casa_meses,tipo_contrato,mensalidade,internet_fibra,suporte_tecnico,reclamacoes_6m,churn
1,73,7,Mensal,20.0,Sim,Nao,2,1
2,43,56,Anual,60.02,Nao,Sim,0,0
3,78,48,Anual,35.54,Sim,Nao,0,0
4,53,32,Mensal,64.08,Sim,Nao,1,0
5,41,32,Anual,75.14,Sim,Nao,4,1
6,18,62,Anual,93.01,Sim,Nao,1,0
7,55,7,Mensal,41.54,Sim,Nao,0,0
8,57,51,Anual,79.99,Nao,Sim,0,0
9,78,15,Anual,70.36,Sim,Nao,2,1
10,62,7,Mensal,78.69,Sim,Sim,3,0
11,19,38,Mensal,57.01,Sim,Nao,1,0
12,53,71,Mensal,104.58,Nao,Sim,2,0
13,64,53,Anual,67.41,Nao,Nao,1,0
14,48,55,Mensal,114.35,Sim,Sim,1,0
15,44,52,Mensal,50.24,Nao,Nao,3,1
16,68,57,Mensal,88.57,Nao,Nao,3,1
17,55,37,Anual,68.51,Sim,Sim,0,0
18,60,10,Anual,61.81,Sim,Nao,0,0
19,46,61,Mensal,85.81,Nao,Sim,0,0
20,35,33,Bianual,62.52,Sim,Nao,1,0
21,50,37,Mensal,20.0,Sim,Sim,2,0
22,77,27,Mensal,20.0,Nao,Nao,0,0
23,55,14,Mensal,101.81,Sim,Nao,1,0
24,61,67,Anual,100.76,Nao,Nao,1,0
25,25,57,Anual,117.18,Nao,Nao,0,1
26,79,47,Mensal,69.56,Nao,Nao,0,0
27,33,29,Anual,37.68,Nao,Nao,3,1
28,78,60,Anual,59.51,Nao,Sim,0,0
29,45,40,Bianual,70.29,Sim,Nao,1,0
30,74,32,Bianual,44.82,Nao,Sim,1,0
31,73,33,Anual,111.21,Sim,Nao,1,0
32,64,17,Mensal,125.99,Sim,Sim,1,1
33,74,7,Mensal,81.96,Nao,Nao,0,1
34,55,40,Bianual,69.73,Nao,Nao,0,0
35,70,64,Anual,37.63,Nao,Nao,0,0
36,28,5,Mensal,108.66,Nao,Sim,3,1
37,22,62,Bianual,71.91,Sim,Sim,2,0
38,51,60,Bianual,62.77,Nao,Nao,0,0
39,68,20,Anual,82.03,Sim,Nao,1,1
40,65,46,Bianual,55.36,Sim,Nao,0,0
41,50,12,Mensal,73.67,Sim,Nao,1,1
42,50,55,Anual,33.94,Nao,Sim,1,0
43,55,51,Bianual,97.18,Nao,Nao,2,0
44,71,26,Mensal,67.39,Nao,Nao,0,0
45,70,5,Mensal,98.97,Nao,Sim,2,1
46,24,70,Anual,64.97,Sim,Nao,1,0
47,54,33,Mensal,66.6,Sim,Sim,0,0
48,41,65,Mensal,39.69,Sim,Sim,1,0
49,67,49,Mensal,88.99,Sim,Sim,2,0
50,49,57,Mensal,48.1,Nao,Nao,0,0
51,79,55,Mensal,57.84,Sim,Nao,2,1
52,44,15,Bianual,70.03,Nao,Sim,0,0
53,60,27,Anual,73.03,Sim,Nao,2,0
54,24,34,Anual,27.35,Sim,Nao,1,0
55,75,36,Mensal,64.23,Nao,Nao,0,0
56,27,4,Mensal,89.88,Nao,Sim,0,1
57,41,40,Mensal,60.54,Sim,Sim,1,0
58,69,12,Bianual,64.38,Nao,Sim,1,0
59,77,54,Bianual,74.06,Nao,Nao,2,0
60,48,50,Mensal,66.85,Sim,Nao,0,0
61,48,67,Bianual,44.24,Nao,Sim,0,0
62,21,54,Mensal,69.09,Nao,Nao,1,0
63,78,27,Mensal,94.85,Sim,Sim,1,0
64,19,70,Anual,43.72,Sim,Sim,2,0
65,19,30,Mensal,60.64,Sim,Sim,1,0
66,47,24,Bianual,35.46,Nao,Sim,1,0
67,18,66,Mensal,93.53,Nao,Sim,4,1
68,28,27,Anual,67.69,Sim,Sim,1,1
69,56,6,Mensal,48.75,Nao,Nao,1,0
70,61,34,Mensal,72.31,Nao,Nao,0,0
71,36,58,Mensal,39.91,Sim,Nao,0,0
72,67,14,Bianual,44.16,Nao,Sim,2,0
73,55,34,Anual,33.5,Nao,Nao,0,0
74,32,10,Anual,43.33,Nao,Nao,1,1
75,62,50,Mensal,103.93,Nao,Nao,0,0
76,54,35,Mensal,51.67,Sim,Sim,3,0
77,68,24,Mensal,81.66,Sim,Nao,3,1
78,27,17,Anual,49.09,Sim,Sim,0,0
79,32,41,Mensal,88.99,Nao,Sim,1,1
80,36,49,Mensal,44.35,Sim,Nao,0,0
81,39,68,Anual,70.98,Nao,Nao,0,0
82,73,32,Anual,71.32,Nao,Nao,1,0
83,63,12,Mensal,128.2,Sim,Nao,1,1
84,51,60,Mensal,85.76,Nao,Sim,4,1
85,51,46,Mensal,55.18,Sim,Nao,0,0
86,72,51,Anual,87.13,Sim,Sim,0,0
87,45,8,Mensal,123.45,Nao,Nao,1,1
88,31,23,Anual,29.26,Sim,Nao,2,0
89,26,56,Mensal,48.94,Sim,Nao,3,0
90,38,60,Bianual,64.08,Nao,Nao,0,0
91,58,32,Bianual,59.57,Nao,Sim,1,0
92,47,58,Mensal,61.68,Nao,Sim,2,0
93,44,61,Mensal,37.39,Sim,Nao,0,0
94,47,28,Mensal,105.1,Sim,Sim,0,1
95,78,65,Anual,34.43,Sim,Sim,1,0
96,79,21,Mensal,64.99,Sim,Nao,0,1
97,28,18,Anual,96.15,Nao,Sim,1,0
98,25,50,Mensal,69.25,Sim,Sim,1,0
99,33,46,Mensal,45.52,Nao,Sim,1,0
100,70,11,Anual,36.28,Sim,Nao,1,1
101,46,60,Anual,64.25,Nao,Nao,2,0
102,71,15,Anual,51.07,Sim,Nao,2,0
103,58,58,Anual,75.13,Sim,Sim,0,0
104,52,1,Anual,34.96,Sim,Nao,2,0
105,35,58,Mensal,90.33,Nao,Sim,0,0
106,39,57,Bianual,72.89,Nao,Sim,0,0
107,27,57,Anual,74.75,Nao,Nao,1,0
108,50,48,Bianual,106.03,Sim,Nao,3,0
109,35,34,Bianual,59.06,Nao,Sim,1,0
110,36,51,Mensal,51.85,Nao,Sim,0,0
